date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:58	18518/18518	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Dec%202022%2011:55:54%20GMT	https://x.synapse.to/	C:/My%20Web%20Sites/Adore/x.synapse.to/index.html	(from )
12:55:58	33/33	---M--	200	added ('OK')	text/plain	etag:W/%2221-184e445f1e0%22	https://x.synapse.to/robots.txt		(from )
12:55:59	8900/8900	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2222c4-184e445f1e0%22	https://x.synapse.to/logo.svg	C:/My%20Web%20Sites/Adore/x.synapse.to/logo.svg	(from https://x.synapse.to/)
12:55:59	11950/11950	---M--	200	added ('OK')	image/png	etag:W/%222eae-184e445edf8%22	https://x.synapse.to/apple-touch-icon.png	C:/My%20Web%20Sites/Adore/x.synapse.to/apple-touch-icon.png	(from https://x.synapse.to/)
12:55:59	1562/1562	---M--	200	added ('OK')	image/png	etag:W/%2261a-184e445edf8%22	https://x.synapse.to/favicon-32x32.png	C:/My%20Web%20Sites/Adore/x.synapse.to/favicon-32x32.png	(from https://x.synapse.to/)
12:55:59	738/738	---M--	200	added ('OK')	image/png	etag:W/%222e2-184e445edf8%22	https://x.synapse.to/favicon-16x16.png	C:/My%20Web%20Sites/Adore/x.synapse.to/favicon-16x16.png	(from https://x.synapse.to/)
12:55:59	263/263	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22107-184e445f1e0%22	https://x.synapse.to/site.webmanifest	C:/My%20Web%20Sites/Adore/x.synapse.to/site.webmanifest	(from https://x.synapse.to/)
12:55:59	35003/35003	---MCZ	200	added ('OK')	text/css	etag:W/%228902-184e07371c8%22	https://x.synapse.to/_next/static/css/db1363a6ef43df82.css	C:/My%20Web%20Sites/Adore/x.synapse.to/_next/static/css/db1363a6ef43df82.css	(from https://x.synapse.to/)
12:56:00	91458/91458	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-184e4478438%22	https://x.synapse.to/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/Adore/x.synapse.to/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://x.synapse.to/)
12:56:00	1867/1867	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274b-184e07371c8%22	https://x.synapse.to/_next/static/chunks/webpack-94547de1949c56d7.js	C:/My%20Web%20Sites/Adore/x.synapse.to/_next/static/chunks/webpack-94547de1949c56d7.js	(from https://x.synapse.to/)
12:56:00	140088/140088	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222702-184e07371c8%22	https://x.synapse.to/_next/static/chunks/framework-3b5a00d5d7e8d93b.js	C:/My%20Web%20Sites/Adore/x.synapse.to/_next/static/chunks/framework-3b5a00d5d7e8d93b.js	(from https://x.synapse.to/)
12:56:00	87447/87447	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215597-184e07371c8%22	https://x.synapse.to/_next/static/chunks/main-90a34299418a0f2b.js	C:/My%20Web%20Sites/Adore/x.synapse.to/_next/static/chunks/main-90a34299418a0f2b.js	(from https://x.synapse.to/)
